"","x_","y_","t_","grid_id"
"433",537005.59,7613561.349,2005-08-19 16:18:00,266
"434",536351.0644,7614486.743,2005-08-19 20:18:00,266
"435",536279.7248,7614554.248,2005-08-20 00:18:00,292
"436",537101.9426,7613539.874,2005-08-21 08:18:00,266
"437",537121.5348,7613523.392,2005-08-21 12:18:00,266
"438",536982.5272,7613753.524,2005-08-21 16:18:00,266
"439",536990.7796,7613033.296,2005-08-21 20:18:00,266
"440",535414.3599,7613257.989,2005-08-22 00:18:00,265
"441",535742.8679,7615158.766,2005-08-22 08:18:00,292
"442",535753.9619,7615174.294,2005-08-22 12:18:00,292
"443",535616.1525,7616189.491,2005-08-22 16:18:00,291
"444",535234.1871,7616396.327,2005-08-22 20:18:00,291
"445",534242.259,7618480.212,2005-08-23 00:18:00,317
"446",533260.6209,7618714.912,2005-08-23 04:18:00,342
"447",533305.672,7618810.238,2005-08-23 08:18:00,342
"448",533323.3498,7618819.439,2005-08-23 12:18:00,342
"449",533312.049,7618503.767,2005-08-23 16:18:00,316
"450",533151.4042,7618506.679,2005-08-23 20:18:00,342
"451",533626.5398,7618388.184,2005-08-24 00:18:00,317
"452",533538.6545,7617899.586,2005-08-24 04:18:00,316
"453",533558.5272,7618368.136,2005-08-24 08:18:00,316
"454",533545.0089,7618365.302,2005-08-24 12:18:00,316
"455",533328.1174,7618574.744,2005-08-24 16:18:00,342
"456",533464.1559,7618477.496,2005-08-24 20:18:00,316
"457",533145.367,7618189.053,2005-08-25 00:18:00,316
"458",532811.9685,7618318.947,2005-08-25 04:18:00,316
"459",532681.3816,7618270.565,2005-08-25 08:18:00,316
"460",532665.7117,7618269.915,2005-08-25 12:18:00,316
"461",532935.6786,7618282.582,2005-08-25 16:18:00,316
"462",532931.6,7618014.916,2005-08-25 20:18:00,316
"463",533172.2842,7617779.372,2005-08-26 00:18:00,316
